employee_id;name;position_id;position_title;grade_id;legal_entity;country;directorate;division;department_id;employment_status;join_date;direct_report_id;direct_report_name;direct_report_position
NBT2001;Prasetyo Nugroho;POS-MKT-001;Marketing Director;5C;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-MKT;Tetap;2015-11-11;;;
NBT2002;Anisa Hartono;POS-MKT-002;Brand Manager;5A;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-MKT;Tetap;2017-07-06;NBT2001;Prasetyo Nugroho;Marketing Director
NBT2003;Gunawan Ramadhan;POS-MKT-002;Brand Manager;5A;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-MKT;Tetap;2019-11-20;NBT2001;Prasetyo Nugroho;Marketing Director
NBT2004;Dimas Handayani;POS-MKT-003;Assistant Brand Manager;4C;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-MKT;Tetap;2019-02-09;NBT2002;Anisa Hartono;Brand Manager
NBT2005;Anisa Yulianti;POS-MKT-003;Assistant Brand Manager;4C;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-MKT;Tetap;2019-07-17;NBT2002;Anisa Hartono;Brand Manager
NBT2006;Galih Hartono;POS-MKT-004;Digital Marketing Officer;4A;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-MKT;Tetap;2020-04-13;NBT2004;Dimas Handayani;Assistant Brand Manager
NBT2007;Gunawan Yulianti;POS-MKT-004;Digital Marketing Officer;4A;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-MKT;Tetap;2020-12-26;NBT2004;Dimas Handayani;Assistant Brand Manager
NBT2008;Reza Santoso;POS-MKT-005;Marketing Analyst Staff;3C;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-MKT;Tetap;2015-06-16;NBT2006;Galih Hartono;Digital Marketing Officer
NBT2009;Eko Ramadhan;POS-SLS-006;General Manager Sales;5C;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2021-07-19;;;
NBT2010;Dewi Wibowo;POS-SLS-007;Regional Sales Manager;5A;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2025-10-18;NBT2009;Eko Ramadhan;General Manager Sales
NBT2011;Sari Rahayu;POS-SLS-007;Regional Sales Manager;5A;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2016-08-08;NBT2009;Eko Ramadhan;General Manager Sales
NBT2012;Eko Firmansyah;POS-SLS-008;Area Sales Supervisor;4B;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;PKWT;2025-09-22;NBT2010;Dewi Wibowo;Regional Sales Manager
NBT2013;Agus Nasution;POS-SLS-008;Area Sales Supervisor;4B;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2024-03-11;NBT2010;Dewi Wibowo;Regional Sales Manager
NBT2014;Fajar Pratama;POS-SLS-008;Area Sales Supervisor;4B;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2025-06-21;NBT2010;Dewi Wibowo;Regional Sales Manager
NBT2015;Krisna Halim;POS-SLS-008;Area Sales Supervisor;4B;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2022-08-07;NBT2010;Dewi Wibowo;Regional Sales Manager
NBT2016;Nurul Permata;POS-SLS-009;Sales Admin Officer;3C;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2022-05-08;NBT2012;Eko Firmansyah;Area Sales Supervisor
NBT2017;Ratna Gunadi;POS-SLS-009;Sales Admin Officer;3C;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2025-11-19;NBT2012;Eko Firmansyah;Area Sales Supervisor
NBT2018;Hendra Puspita;POS-SLS-009;Sales Admin Officer;3C;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2016-02-10;NBT2012;Eko Firmansyah;Area Sales Supervisor
NBT2019;Fajar Utami;POS-SLS-010;Merchandising Staff;3A;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2022-12-05;NBT2016;Nurul Permata;Sales Admin Officer
NBT2020;Sinta Simanjuntak;POS-SLS-010;Merchandising Staff;3A;PT Kaldu Sari Nabati Indonesia;ID;Commercial;Commercial;D-SLS;Tetap;2019-06-08;NBT2016;Nurul Permata;Sales Admin Officer
NBT2021;Sari Yulianti;POS-PRD-011;Plant Manager;5B;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2015-12-07;;;
NBT2022;Bayu Prakoso;POS-PRD-012;Production Manager;5A;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2019-03-05;NBT2021;Sari Yulianti;Plant Manager
NBT2023;Krisna Hidayat;POS-PRD-013;Production Supervisor;4B;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2020-10-07;NBT2022;Bayu Prakoso;Production Manager
NBT2024;Juwita Utami;POS-PRD-013;Production Supervisor;4B;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2019-04-27;NBT2022;Bayu Prakoso;Production Manager
NBT2025;Irfan Ramadhan;POS-PRD-013;Production Supervisor;4B;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2016-01-15;NBT2022;Bayu Prakoso;Production Manager
NBT2026;Galih Kusuma;POS-PRD-014;Line Leader;3C;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2021-11-19;NBT2023;Krisna Hidayat;Production Supervisor
NBT2027;Wahyu Yulianti;POS-PRD-014;Line Leader;3C;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2023-07-04;NBT2023;Krisna Hidayat;Production Supervisor
NBT2028;Tiara Rahayu;POS-PRD-014;Line Leader;3C;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2016-04-13;NBT2023;Krisna Hidayat;Production Supervisor
NBT2029;Lukman Suryani;POS-PRD-014;Line Leader;3C;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2017-02-20;NBT2023;Krisna Hidayat;Production Supervisor
NBT2030;Lukman Yulianti;POS-PRD-014;Line Leader;3C;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2021-12-28;NBT2023;Krisna Hidayat;Production Supervisor
NBT2031;Budi Maulana;POS-PRD-015;Operator Produksi;2A;PT Kaldu Sari Nabati Indonesia;ID;Operations;Operations;D-PRD;Tetap;2024-08-23;NBT2026;Galih Kusuma;Line Leader
